id,title,description,body,url,posted,visible,page_id
43,The PSA Test: A Helpful Screening Tool,"Recent reports have caused confusion about PSA screening, an important diagnostic tool for prostate health.","<p>
	Despite considerable evidence supporting the use of Prostate-Specific Antigen (PSA) testing as a screening tool, conflicting statements regarding the appropriateness of PSA screening have been reported recently. This has resulted in confusion among our patients and fellow physicians.</p>
<p>
	<span style=""line-height: 1.2em;"">The Urology Group monitors and interprets PSA guidelines that have been developed by a host of national and international expert bodies, including the American Urological Association, the Large Urology Group Practice Association and the European Association of Urology.</span></p>
<p>
	<span style=""line-height: 1.2em;"">We endorse the following guidelines and concepts regarding PSA testing:</span></p>
<p>
	<span style=""line-height: 1.2em;"">1.&nbsp;&nbsp;&nbsp;&nbsp; </span><strong style=""line-height: 1.2em;"">Prostate cancer screening must be uncoupled from risks of prostate cancer detection and treatment</strong><span style=""line-height: 1.2em;"">. Various entities mistakenly assume that a patient with an elevated PSA will undergo an indiscriminate prostate biopsy, and a patient with prostate cancer will inevitably undergo treatment. This is not our policy at The Urology Group.</span></p>
<p>
	<span style=""line-height: 1.2em;"">2.&nbsp;&nbsp;&nbsp;&nbsp; PSA screening facilitates the early detection of prostate cancer, which results in:</span><br />
	<span style=""line-height: 1.2em;"">&middot;&nbsp;&nbsp;&nbsp; reduced risk of being diagnosed with or developing locally advanced an/or metastatic prostate cancer;</span><br />
	<span style=""line-height: 1.2em;"">&middot;&nbsp;&nbsp;&nbsp; reduction in prostate cancer-specific mortality; prostate cancer-specific mortality has declined by more than 40% in the U.S. since the inception of PSA screening.</span></p>
<p>
	<span style=""line-height: 1.2em;"">3.&nbsp;&nbsp;&nbsp;&nbsp; A baseline serum PSA level should be obtained from men in their 40s who have made an informed decision to pursue early detection of prostate cancer.</span></p>
<p>
	<span style=""line-height: 1.2em;"">4.&nbsp;&nbsp;&nbsp;&nbsp; Intervals for an individual&rsquo;s prostate cancer screening should be adapted to:</span><br />
	<span style=""line-height: 1.2em;"">&middot;&nbsp;&nbsp;&nbsp; the baseline PSA;</span><br />
	<span style=""line-height: 1.2em;"">&middot;&nbsp;&nbsp;&nbsp; prostate cancer risk factors (including African-American heritage and a family history of prostate cancer);</span><br />
	<span style=""line-height: 1.2em;"">&middot;&nbsp;&nbsp;&nbsp; the potentially short preclinical timeline of aggressive cancers.</span></p>
<p>
	<span style=""line-height: 1.2em;"">5.&nbsp;&nbsp;&nbsp;&nbsp; PSA screening should be offered to men with a life expectancy of &gt;10 years, regardless of age.</span></p>
<p>
	We will continue to monitor the discussion on this important topic and keep you posted on any significant developments. In the meantime, if you have specific questions, feel free to contact your physician at The Urology Group.</p>
",2014/05/16/the-psa-test-a-helpful-screening-tool,2014-05-16 11:09:34,1,65
36,"New Weapon, New Hope for Prostate Cancer Patients",Introducing CyberKnife SBRT for prostate cancer treatment,"<p>
	<span style=""line-height: 1.2em;""><img alt="""" src=""/Media/373/Getting patient situated (crop) blog post.jpg"" /></span></p>
<p>
	<span style=""line-height: 1.2em;"">In our continuing efforts to provide the best possible treatments for our patients, The Urology Group is proud to announce the CyberKnife stereotactic body radiation therapy (SBRT) system will now be part of our prostate cancer treatment offering. This breakthrough technology for prostate cancer patients delivers high doses of radiation with extreme accuracy and requires fewer sessions than traditional treatments.</span></p>
<p>
	<span style=""line-height: 1.2em;"">We are proud to be the only CyberKnife SBRT provider in the nation exclusively focused on prostate cancer.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Despite the name, CyberKnife SBRT is a non-invasive treatment option that involves no cutting. One of the major advantages is the precise delivery of radiation that bombards cancerous cells while minimizing exposure to healthy tissues.</span></p>
<p>
	In addition, patients appreciate that CyberKnife SBRT treatments can be completed without anesthesia or the use of a urinary catheter, and are performed as brief outpatient procedures.</p>
<p>
	A cancer diagnosis can be overwhelming, with many immediate questions and concerns&mdash;and the stress of evaluating treatment options can further complicate the issue. However, knowing you have local access to breakthrough technology can give you comfort and confidence in your treatment journey. And that&rsquo;s what we strive for at the Urology Group.</p>
<p>
	<span style=""line-height: 1.2em;"">Here&rsquo;s more information about <a href=""http://cincinnaticyberknife.com"" target=""_blank"">CyberKnife SBRT</a>.</span></p>
",2013/11/05/new-weapon-new-hope-for-prostate-cancer-patients,2013-11-05 16:35:18,1,65
45,Australian Visitors Learn Best Practices,Two Australian physicians recently visited The Urology Group to learn about an innovative treatment for overactive bladder issues.,"<p>
	<img alt="""" src=""/Media/425/Australian guests cropped sized.jpg"" style=""width: 576px; height: 450px;"" /></p>
<p>
	<em>From left: Earl Walz, Dr. Dominic Lee, Dr. Johan Gani</em></p>
<p>
	Two urologists from Australia recently visited The Urology Group to learn more about the use of Botox for urinary incontinence.</p>
<p>
	<span style=""line-height: 1.2em;"">Dr. Johan Gani and Dr. Dominic Lee were in the U.S. to attend the annual American Urological Association conference and spent a day at our Norwood Campus before returning home.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Though the U.S. Food and Drug Administration (FDA) approved Botox to treat incontinence in 2011, the concept is new for Australia. Drs. Gani and Lee met with our physicians and staff to learn best practices, then observed as we prepped and performed the procedure.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Botox treatment involves injection of the drug into the bladder, which relaxes it and gives patients more muscle control and less incontinence.</span></p>
<p>
	<span style=""line-height: 1.2em;"">As a leading provider of urological services, we were proud to host our colleagues from &ldquo;Down Under&rdquo; and share knowledge and insights that will help improve the quality of life for their patients.</span></p>
",2014/05/22/australian-physicians-learn-best-practices,2014-05-22 07:50:23,1,80
44,"Important Message, Unexpected Place",Taste of Cincinnati attendees may see an unexpected but important message.,"<p>
	Anyone attending the 36<sup>th</sup> annual <a href=""http://www.tasteofcincinnati.com"" target=""_blank"">Taste of Cincinnati</a> may notice an important message in an unexpected place. To raise awareness of overactive bladder (OAB) issues, the portable restrooms will feature colorful ads from The Urology Group.</p>
<p>
	<img alt="""" src=""/Media/422/ToC_RR_ad(3).jpg"" /></p>
<p>
	Organizers expect about half a million people for the downtown event. According to the <a href=""http://www.urologyhealth.org"" target=""_blank"">American Urological Association</a>, 30 percent of all men and 40 percent of all women in the U.S. live with OAB symptoms &ndash; so the message will &lsquo;hit home&rsquo; with a significant number of attendees.</p>
<p>
	<span style=""line-height: 1.2em;"">Participants can enjoy plenty of food, drink and entertainment during the three-day event, and if they have concerns or questions about OAB, the ads provide a reminder that as the regional leader in urological care, The Urology Group can help.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Hope to see you there!</span></p>
<p>
	&nbsp;</p>
",2014/05/20/important-message-unexpected-place,2014-05-23 08:17:17,1,122
46,Men’s Health Week 2014: The Importance of Check Ups,A reminder of the importance of check ups during National Men's Health Week.,"<p>
	<img alt="""" src=""/Media/429/NMHWlogo-1-136x150.jpg	"" /></p>
<p>
	Generally speaking, men are reluctant to visit the doctor. In fact, a survey by <a href=""http://www.cdc.gov/features/healthymen/?s_cid=cdc_homepage_feature_001"" target=""_blank"">the Centers for Disease Control (CDC)</a> indicated that 26 percent of men had made no office visits to a doctor or medical professional in the previous 12 months &ndash; compared with just 13 percent of women.</p>
<p>
	<span style=""line-height: 1.2em;"">That lack of medical attention can result in long-term problems &ndash; which is one of the issues that Men&rsquo;s Health Week was created to address. During this nationally recognized time, individuals, families, communities and others work to promote healthy living and encourage early detection and treatment of disease.</span></p>
<p>
	<span style=""line-height: 1.2em;"">And since a recent <a href=""http://www.cdc.gov/features/healthymen/?s_cid=cdc_homepage_feature_001"" target=""_blank"">American Cancer Society</a> study showed that prostate cancer will be the most commonly diagnosed cancer for men in 2014, your urologist can play an important role.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Routine check ups should be completed through your primary care physician. However, you could be referred to a urologist due to one of the following conditions.</span></p>
<p style=""margin-left:.5in;"">
	1. <strong>Abnormal PSA test</strong>: A PSA test screens for prostate cancer by measuring the level of prostate-specific antigen (PSA) in the blood. An abnormal or elevated PSA test should receive immediate follow-up.</p>
<p style=""margin-left:.5in;"">
	2. <strong>Hematuria</strong>: Hematuria means the presence of blood in urine and can be caused by a number of potentially serious conditions including bladder cancer, kidney cancer, urinary tract infections and stones.</p>
<p style=""margin-left:.5in;"">
	3. <strong>Kidney stones</strong>: A key symptom of kidney stones is severe pain in the lower stomach, side of the back, groin or testicles. Left untreated, stones can wreak havoc on the kidneys and cause permanent, lasting damage.</p>
<p style=""margin-left:.5in;"">
	4. <strong>Enlarged prostate</strong>: As men age, their prostates tend to grow larger. If the prostate grows too large it puts pressure on the urethra and can obstruct urine flow. This condition is called benign prostatic hyperplasia (BPH). BPH can cause many symptoms including an urge to urinate often, weak urine flow and pain in the lower back, pelvis or thighs.</p>
<p>
	The other important part of Men&rsquo;s Health Week is simply getting men to talk about their health concerns. If you have questions regarding your urinary or genital tract health, talk to your doctor or schedule an appointment today.</p>
",2014/06/11/men-s-health-week-2014-the-importance-of-check-ups,2014-06-11 13:23:41,1,51
48,Active Surveillance – One of Several Options for Prostate Cancer ,When is no treatment the best option? ,"<div>
	When a patient is diagnosed with prostate cancer, understanding and considering a course of treatment can be overwhelming. As you and your physician consider which treatment may be best for you, it is important to understand how far your cancer has progressed, potential treatment-related side effects and your general health.&nbsp;</div>
<div>
	&nbsp;</div>
<div>
	One treatment option that we always consider at The Urology Group is no treatment at all. This is commonly referred to as &ldquo;active surveillance&rdquo; and may be right for some patients.&nbsp;</div>
<div>
	&nbsp;</div>
<div>
	The &ldquo;active surveillance&rdquo; approach monitors the cancer over time to assess progression rather than intervening immediately with surgery, radiation therapy or other treatments.</div>
<div>
	&nbsp;</div>
<div>
	Typically, active surveillance can be an option when the prostate cancer is:</div>
<ul>
	<li>
		not causing any symptoms</li>
	<li>
		expected to grow slowly</li>
	<li>
		<span style=""line-height: 1.2em;"">small and contained within the prostate</span></li>
</ul>
<div>
	This &ldquo;wait and see&rdquo; approach requires regularly scheduled prostate specific antigen (PSA) tests and digital rectal exams (DRE), as well as a repeat biopsy of the prostate at one year, and specific intervals thereafter.</div>
<div>
	&nbsp;</div>
<div>
	At any time, if symptoms develop or progression of the cancer is detected, treatment may be warranted.&nbsp;</div>
<div>
	&nbsp;</div>
<div>
	The profile of a candidate for active surveillance includes a low grade (Gleason 6 or under), low-risk prostate cancer (low PSA and stage) that appears to be low in volume (small amount of cancer found on biopsy, for example). Lifestyle considerations may also be a factor. Researchers are currently developing biomarkers and additional tests to make this decision easier and more accurately informed.</div>
<div>
	&nbsp;</div>
<div>
	Active surveillance might also be a good choice for older men with limited life expectancy. In addition, if a man is currently battling other serious disorders or diseases, such as heart disease, long-standing high blood pressure, or poorly controlled diabetes, it may be best to hold off on therapy and avoid its potential complications.</div>
<div>
	&nbsp;</div>
<div>
	Any decision regarding prostate cancer treatment needs to be fully informed and have the support of the patient&rsquo;s loved ones as well as the physician and healthcare team.</div>
<div>
	&nbsp;</div>
",2014/06/27/active-surveillance-one-of-several-options-for-prostate-cancer-,2014-06-27 07:48:29,1,65
49,AUA Annual Conference Provides Updates on OAB Treatment,The American Urological Association (AUA) has announced promising results for using Botox for overactive bladder (OAB) symptoms.,"<p>
	<img alt="""" src=""/Media/441/Shay_5902.jpg"" style=""width: 125px; height: 188px;"" /></p>
<p>
	The symptoms of an overactive bladder (OAB) &ndash; feeling an urgency to urinate frequently &mdash; are quite common. Most studies indicate that about 15% of the U.S. population experiences OAB, although the percentage increases with age to approximately one-third of elderly individuals.</p>
<p>
	<span style=""line-height: 1.2em;"">In some cases, OAB and urinary incontinence can effectively be treated with Botox injections. The American Urological Association&rsquo;s (AUA) recent annual conference included an encouraging report on the procedure.</span></p>
<p>
	<span style=""line-height: 1.2em;""><a href=""http://urologytimes.modernmedicine.com/urology-times/news/best-aua-2014-female-urologyincontinenceurodynamics"">The report announced research</a> demonstrating that Botox injections reduced urge incontinence episodes per day at 12 weeks. The effect remained stable at 24 to 36 weeks between each injection cycle. This means that patients can have greater control over longer periods of time.</span></p>
<p>
	<span style=""line-height: 1.2em;"">The procedure itself involves the physician injecting Botox directly into the bladder muscle, partially paralyzing it to reduce over activity &ndash; but leaving enough control to empty the bladder voluntarily. &nbsp;</span></p>
<p>
	<span style=""line-height: 1.2em;"">OAB can be particularly challenging because for many people, the cause is unknown. However, a patient can adopt lifestyle changes to help control the condition. Cutting down on caffeinated drinks, alcohol, chocolate, tomatoes, citrus and spicy foods has shown positive results. In addition, women with OAB may experience improvement after performing pelvic floor exercises.</span></p>
<p>
	<span style=""line-height: 1.2em;"">If you are suffering from untreated symptoms of OAB, the first step is to see a physician. While The Urology Group does offer Botox as one of many treatments for OAB, your doctor can evaluate your condition and help you determine if lifestyle changes or a procedure such as a Botox injection would be the best course of action.</span></p>
",2014/07/16/aua-annual-conference-provides-updates-on-oab-treatment,2014-07-16 12:06:53,1,58
50,2014 ZERO Prostate Cancer 10K/5K Run/Walk,"Join us: the Race will be Saturday, Sept. 6 - only weeks away!","<p>
	<img alt="""" src=""/Media/451/Race post.jpg"" /></p>
<p>
	Public awareness of prostate cancer continues to increase. In January, the American Cancer Society projected that more cases of prostate cancer than breast cancer would be diagnosed this year. Many national media outlets including CNN, ESPN and the <em>Washington Post</em> have featured significant coverage of the issue.</p>
<p>
	<span style=""line-height: 1.2em;"">As a result, we believe that this year&rsquo;s ZERO Prostate Cancer 10K/5K Event in Cincinnati will be the biggest and best in our history. &nbsp;Our goal is to welcome 1,500 participants to the starting line on Saturday, September 6! If we hit our goal it represents a 25% increase in participation&mdash;another good sign we&rsquo;re increasing awareness.</span></p>
<p>
	<span style=""line-height: 1.2em;"">The Urology Group will host the event for the eighth consecutive year and the course will wind its way through the scenic neighborhoods of Norwood near our office. The area around our office will have a festival atmosphere, complete with food, music and entertainment.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Perhaps most importantly, we&rsquo;ll gather prostate cancer survivors and their caregivers for a special breakfast reception. These individuals will also be recognized at the race and some will have the opportunity to share their stories of persistence and recovery.</span></p>
<p>
	<span style=""line-height: 1.2em;"">We&rsquo;re also using this event as an opportunity to talk about men&rsquo;s health&ndash;a topic that men have traditionally been reluctant to discuss. We want to spread the word to men&ndash;and the women in their lives&ndash;about the importance of periodic screening and regular check-ups.</span></p>
<p>
	<span style=""line-height: 1.2em;"">We extend an open invitation and hope that you will join us!</span></p>
<p>
	<span style=""line-height: 1.2em;"">For more information or to register for the race, visit our web page <a href=""http://urologygroup.com/calendar-of-events/2014/01/22/2013-zero-prostate-cancer-5k-10k-run-walk/"">here</a>.</span></p>
",2014/07/28/2014-zero-prostate-cancer-10k-5k-run-walk,2014-07-28 12:36:43,1,79
51,Screenings Can Catch Cancer Early ,Early detection of prostate cancer dramatically increases the chances of successful treatment.,"<p>
	<img alt="""" src=""/Media/461/Feeney_blog.jpg"" style=""width: 125px; height: 188px;"" /></p>
<p>
	Prostate cancer screenings look for signs of the disease even before it causes symptoms. Many studies show that early detection significantly increases the chances of successful treatment.&nbsp;</p>
<p>
	<span style=""line-height: 1.2em;"">A screening can be conducted in your physician&rsquo;s office, or The Urology Group offers free screening events several times a year. The next will be:</span></p>
<p>
	<strong>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Thursday, August 28<br />
	<span style=""line-height: 1.2em;"">&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 6:00 p.m. to 8:00 p.m.</span></strong></p>
<p>
	Location:</p>
<p>
	&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Fleet Feet Sports/Oakley<br />
	<span style=""line-height: 1.2em;"">&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 3235 Madison Road</span><br />
	<span style=""line-height: 1.2em;"">&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Cincinnati</span></p>
<p>
	<span style=""line-height: 1.2em;"">For a schedule of future screening events, click <a href=""http://www.freeprostatecincy.com"">here</a>.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Prostate cancer screening commonly involves two tests:</span></p>
<p>
	<span style=""line-height: 1.2em;"">- </span><strong style=""line-height: 1.2em;"">Digital rectal exam</strong><span style=""line-height: 1.2em;""> (DRE): A doctor or nurse inserts a gloved, lubricated finger into the rectum to estimate the size of the prostate and feel for lumps or other abnormalities.</span></p>
<p>
	<span style=""line-height: 1.2em;"">- </span><strong style=""line-height: 1.2em;"">Prostate specific antigen</strong><span style=""line-height: 1.2em;""> (PSA) test: Determined from a blood sample, this measures the amount of PSA in the blood. PSA is a substance made by the prostate and as a rule, the higher the PSA level in the blood, the more likely a prostate problem is present. But a high PSA level doesn&rsquo;t always mean cancer. Many factors can affect PSA levels including age, race and certain medications.</span></p>
<p>
	<span style=""line-height: 1.2em;"">The entire process only takes a few minutes and may be mildly uncomfortable for a few seconds.</span></p>
<p>
	<span style=""line-height: 1.2em;"">The benefits, however, are significant: When prostate cancer is caught early, the five-year survival rate is more than 99 percent, according to ZERO &ndash; The End of Prostate Cancer, the national nonprofit dedicated to the cause. The relative 10-year survival rate is 91 percent and 76 percent at 15 years.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Together, the PSA test and DRE provide a good assessment for determining any prostate problems or irregularities &ndash; and can help catch cancer early.&nbsp;</span></p>
",2014/08/12/screenings-can-catch-cancer-early-,2014-08-12 08:50:56,1,63
52,Green Building Achievement: LEED Certification,Our Norwood Campus received LEED Certification for green building features and sustainable systems.,"<p>
	<span style=""line-height: 1.2em;""><img alt="""" src=""/Media/475/Building ext - front at sunrise (sm).jpg"" style=""width: 300px; height: 199px;"" /></span></p>
<p>
	<span style=""line-height: 1.2em;"">We recently received notification that our Norwood Campus has achieved LEED Certification.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Leadership in Energy and Environmental Design (LEED) is the U.S. Green Building Council&rsquo;s green certification system for the design, construction, maintenance and operations of sustainable buildings. The benefits of LEED include conserving energy, reducing water consumption, improving air quality, and saving money.&nbsp;</span></p>
<p>
	<span style=""line-height: 1.2em;"">When we began planning our building, our goal was to create a cutting-edge, high performance facility to support our physicians, staff and patients; receiving LEED certification validates our approach while reflecting the thoughtful strategy and hard work that went into creating it.</span></p>
<p>
	<span style=""line-height: 1.2em;"">From the design phase through construction, our building used a variety of green strategies:</span></p>
<p style=""margin-left:.5in;"">
	&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; a solar reflecting membrane covers the roof, reducing heat gain and keeping the building cooler in warmer months;</p>
<p style=""margin-left:.5in;"">
	&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; low-flow water faucets and toilet fixtures reduce water use by 32% while the new landscaping and irrigation systems require less water;</p>
<p style=""margin-left:.5in;"">
	&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; energy use reductions of nearly 31% by designing efficient systems and simulating energy usage against baseline energy performance numbers;</p>
<p style=""margin-left:.5in;"">
	&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; using materials with pre- or postconsumer recycled content wherever possible, totaling more than 30% for the project;</p>
<p style=""margin-left:.5in;"">
	&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; for indoor air quality, the selection of low-VOC (volatile organic compound) paints and finishes as well as low-emitting carpets, wood flooring, and tile.</p>
<p>
	Site selection also played a significant role in the certification, with our proximity to retail stores, residential neighborhoods and nearby amenities encouraging walking and decreasing vehicular traffic. Fuel efficient cars and carpool vehicles receive priority parking, while bike racks and shower facilities promote biking to work.</p>
<p>
	<span style=""line-height: 1.2em;"">Our investment in green building and sustainability reflects our commitment to healthier lives for our staff, patients and community, as well as a better environment through the wise use of resources. &nbsp;</span></p>
<p>
	<span style=""line-height: 1.2em;"">Special thanks to GBBN Architects, our partners throughout the process.&nbsp;</span></p>
",2014/08/25/green-building-achievement-leed-certification,2014-08-25 06:53:12,1,122
53,"A Remarkable, Record-Breaking Race Day",The 2104 ZERO Prostate Cancer Race set new records for participation and results - and created many memorable moments. ,"<p>
	<img alt="""" src=""/Media/482/ZERO Race starting line.jpg"" style=""height: 255px; width: 400px;"" /></p>
<p>
	The sky was blue, the sun was shining and this past Saturday &ndash; &ldquo;Race Day&rdquo; for the 2014 ZERO Prostate Cancer 5K/10K Run/Walk &ndash; held many memorable moments during a truly remarkable event.</p>
<p>
	<span style=""line-height: 1.2em;"">We welcomed a record number of participants: nearly 2,000 runners and walkers, plus hundreds of family members, neighbors and volunteers. Everyone in attendance at our Norwood campus had the opportunity to enjoy music, food and drinks &ndash; and show their support for eliminating prostate cancer.</span></p>
<p>
	<span style=""line-height: 1.2em;"">The Ring of Courage Breakfast has become an annual highlight during Race Day. The event recognizes the strength and courage of cancer survivors from across the region as well as their caregivers. The Breakfast now functions like a reunion, as survivors get the chance to get caught up with each other, sharing stories and insights from their experiences.</span></p>
<p>
	<span style=""line-height: 1.2em;"">The main stage hosted anchors from three local TV news outlets, who took turns discussing the importance of prostate cancer detection and the impact of cancer on their lives. We greatly appreciate the time and support of Rob Williams from FOX19, John Lomax from Local 12 and Todd Dykes from Channel 5, and their commitment to our community.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Though the final totals are still being calculated, this year&rsquo;s Race Day will contribute more than $125,000 to <a href=""https://zerocancer.org"" target=""_blank"">ZERO &ndash; The End of Prostate Cancer</a>, making the Cincinnati event one of the largest of its kind in the nation. In addition to our runners, we have many sponsors, both local and national, to thank for their assistance.</span></p>
<p>
	<span style=""line-height: 1.2em;"">On behalf of the physicians and staff of The Urology Group, many of whom began planning this event nearly a year ago, I&rsquo;d like to thank the Greater Cincinnati community for supporting this important cause in men&rsquo;s health.&nbsp;</span></p>
<p>
	&nbsp;</p>
",2014/09/08/a-remarkable-record-breaking-race-day,2014-09-08 05:18:05,1,79
54,Molecular Markers Help Assess Prostate Cancer Risk,New testing from The Urology Group identifies molecular markers in prostate biopsy tissues for a clearer picture of the patient’s condition.,"<p>
	<img alt="""" src=""/Media/483/Test tubes.jpg"" style=""height: 193px; width: 300px;"" /></p>
<p>
	One of the biggest challenges in diagnosing early stage prostate cancer is properly staging and grading patients to determine the best treatment plan. &nbsp;Current methods such as clinical staging, PSA serum levels and Gleason scores can help but have limitations. Both patients and physicians need more accurate and objective predictors of recurrence of the disease.</p>
<p>
	<span style=""line-height: 1.2em;"">After extensive review, The Urology Group has decided to evaluate two molecular markers on prostate biopsy tissue in certain patient populations. Molecular markers are fragments of DNA that have been identified as indicating certain results in the human body.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Confirm MDx is a molecular marker that helps distinguish patients with a &lsquo;true&rsquo; negative biopsy from those still at risk for undetected cancer. &nbsp;If the Confirm MDx test is negative, the patient has a greater than 90% certainty of not having prostate cancer.&nbsp; The test results are valid for 24 months, so unless something changes clinically, no repeat biopsy will be needed for two years.&nbsp; If positive, the patient will have another biopsy and about 50% of those patients will be diagnosed with prostate cancer.&nbsp;</span></p>
<p>
	<span style=""line-height: 1.2em;"">The Confirm MDx test helps keep men without prostate cancer from undergoing unnecessary additional biopsies and identifies high-risk patients who may require repeat biopsies and potential treatment.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Patients with newly diagnosed low-risk prostate cancer&mdash;and their physicians&mdash;need to know how aggressive the disease is. The second molecular marker, Oncotype DX, helps with that determination. The analysis looks at various pathways to evaluate how quickly the cancer has been growing. The test builds on traditional clinical and pathologic factors to provide additional, clinically relevant insight.</span></p>
<p>
	<span style=""line-height: 1.2em;"">The Oncotype DX assay results provide an individualized risk assessment that can help a patient and his physician make a confident choice between active surveillance (watchful waiting) and immediate treatment.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Together, these two molecular markers may help provide a clearer picture of a patient&rsquo;s condition and help his health care team make better patient-specific recommendations for his health and well-being.</span></p>
",2014/09/18/molecular-markers-help-assess-prostate-cancer-risk,2014-09-18 12:06:24,1,131
55,The ABCs of BPH,"Benign prostatic hyperplasia (BPH), an enlargement of the prostate, is a common condition in men over age 40. But what does it mean?","<p>
	<img alt="""" src=""/Media/485/Williams_5916.jpg"" style=""height: 188px; width: 125px;"" /></p>
<p>
	Since September is National Prostate Health Awareness Month, it&rsquo;s appropriate to discuss a common issue: benign prostatic hyperplasia (BPH). BPH is an enlargement of the prostate and a common condition in men over age 40.</p>
<p>
	<span style=""line-height: 1.2em;"">Some patients mistakenly believe than an enlarged prostate indicates prostate cancer, but hyperplasia simply means an overgrowth of cells. Although BPH can cause uncomfortable symptoms, it usually doesn&rsquo;t pose a dangerous health threat.</span></p>
<p>
	<span style=""line-height: 1.2em;"">In fact, BPH may not exhibit any symptoms but be detected during a routine exam. Conversely, patients may notice symptoms such as:</span></p>
<p>
	&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; A more urgent and frequent need to urinate</p>
<p>
	&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Awakening at night to urinate</p>
<p>
	&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Straining during urination</p>
<p>
	&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Difficulty starting urination and/or a start-and-stop flow</p>
<p>
	&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Decreased volume and force of urine stream</p>
<p>
	&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Feeling the need to continue urinating, despite the flow having stopped</p>
<p>
	<span style=""line-height: 1.2em;"">BPH has no known cause, although heredity may be a factor. Current research is looking into changes in hormone levels which occur with age.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Because tolerance for discomfort differs with each individual, patients have numerous options to discuss with their physicians. In many cases, no treatment at all is the best alternative, since mild symptoms can clear up or remain stable without intervention.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Studies show that about 40% of men with mild symptoms improve without treatment, 45% continue with no change, and only 15% worsen. Regular checkups can keep tabs on the individual situation.</span></p>
<p>
	<span style=""line-height: 1.2em;"">BPH requires treatment if the patient finds the symptoms excessively bothersome or debilitating. In some cases, urinary flow can be blocked which is a medical emergency requiring immediate attention.</span></p>
<p>
	<span style=""line-height: 1.2em;"">There are no preventive measures for BPH, although some lifestyle changes can help manage mild cases. Avoiding certain medications like tranquilizers, decongestants and antihistamines can help. Reducing fluid intake in the evenings will decrease the possibility of having to urinate during the night, as well as limiting caffeinated drinks, which are diuretics.</span></p>
<p>
	<span style=""line-height: 1.2em;"">Individuals experiencing urinary difficulties should consult with a physician. Whether or not BPH is diagnosed, a doctor can provide recommendations and help determine a course of action to address the condition.</span></p>
<p>
	&nbsp;</p>
",2014/09/24/the-abcs-of-bph,2014-09-24 08:15:58,1,66
