id,media_id,title,posted,description
5,954,The Urology Group Organizes First School-Wide Celebration for Adopt A Class ,2012-05-24 15:10:11,Physicians and staff at The Urology Group will gather May 30 at the John P. Parker School in Madisonville to celebrate the accomplishments of hundreds of students in the Adopt A Class program.
4,955,The Urology Group's Position on PSA Test,2012-05-23 14:00:17,"The Urology Group stands in unison with physicians, prostate cancer patients and patient advocacy groups across the nation who have expressed outrage at a May 21 decision by the U.S. Preventive Services Task Force to recommend against use of the prostate-specific antigen (PSA) test for cancer screening. "
16,956,The Urology Group Chosen as a “Top Workplace” for 2014,2014-06-16 06:54:22,The Urology Group has been selected as one of The Enquirer Media Top Workplaces in Greater Cincinnati for 2014.
9,957,The Urology Group partners with Local’s Sports Bar & Grill for Movember,2012-10-31 12:53:41,"The Urology Group partners with Local’s Sports Bar & Grill for a local Movember Campaign to increase awareness of men’s health. Eleven physicians will participate.
"
29,688,Movember Shave Off - Nov. 30,2015-11-30 10:46:12,Don't miss the public shaving at Indian Mound Cafe to mark the conclusion of Movember 2015!
30,699,The Urology Group Awarded for Healthcare Excellence,2015-12-14 10:42:24,The Urology Group has been named a National APEX Quality Award winner for healthcare excellence. 
31,710,"The Urology Group Welcomes Hari Kothegal, MD, FACS",2016-01-05 11:24:20,"Hari Kothegal, MD, FACS has joined The Urology Group, further expanding its resources and expertise for the Tri-State and bringing the staff total to 38 physicians. "
32,721,St. Elizabeth and The Urology Group Enter into Co-Management Agreement,2016-02-12 12:22:32,The Urology Group has partnered with St. Elizabeth Healthcare to enhance the level of services provided to patients with urologic conditions in Northern Kentucky.
33,762,The Urology Group and ProScan Collaboration Targets Prostate Cancer with Better Accuracy,2016-03-28 17:36:36,ProScan Imaging and The Urology Group have formalized a multi-site partnership to provide advanced imaging technology and a higher level of care to men who are at high risk for aggressive forms of prostate cancer. 
34,789,Urolift - Treatment for Enlarged Prostate,2016-07-21 09:51:40,The Urology Group Adds New Treatment Option for Enlarged Prostate Suffers
44,871,Pearl Harbor Commemoration,2016-11-30 07:54:00,More than 75 WWII veterans will gather on Dec. 7 as The Urology Group hosts a special luncheon in Sharonville. 
36,828,New Doctors Add to Depth of Talent,2016-08-22 08:08:26,"The Urology Group, one of the largest single specialty groups of urologists in the United States, is growing its depth of talent with the addition of three new physicians – Drs. Ryan Flynn, Robert Larke and Ben Niver. "
37,829,Griffey Sr. to Chair 2016 Race,2016-09-01 10:55:48,"Ken Griffey, Sr., a prostate cancer survivor himself, will chair this year's ZERO 10k/5k Event, hosted by The Urology Group. 

The event takes place Saturday, October 15, at 9 a.m. Registration is now open on The Urology Group's website. "
45,874,Dr. Braun Named Finalist for Health Care Hero Award,2016-12-15 11:28:46,The Cincinnati Business Courier has recognized Dr. Karl B. Braun as a finalist for the 2017 Health Care Heroes awards. 
46,878,Dr. Brooke Edwards named chief medical officer,2017-01-03 11:21:43,"Brooke Edwards, M.D., has been named chief medical officer of Norwood-based The Urology Group."
39,851,Prostate Cancer 10k/5k Run this weekend,2016-10-11 08:37:18,"Join The Urology Group for our 10th annual ZERO Prostate Cancer 10k/5k event this Saturday, October 15, starting at 9 a.m. "
40,858,Dr. Braun Awarded Physician Citizen of the Year,2016-10-19 06:40:35,The Urology Group recognized Dr. Karl Braun for his mission work and involvement with U.S. veterans with its annual Physician Citizen of the Year award. 
41,861,MOVEMBER Kickoff - November 1,2016-10-25 13:50:00,Celebrate men's health month by putting down the razor during Movember. The event kicks off November 1.
56,982,Dr. Malik Awarded Physician Citizen of the Year,2017-11-03 06:57:22,"The Urology Group recognized Dr. Inayat Malik for his involvement with community outreach in the Muslim community with its annual Physician Citizen of the Year award.

"
43,870,Movember Shave-Off November 28,2016-11-28 10:34:03,"If you have been growing facial hair to generate awareness around men's health issues, tonight is the night to get a clean shave. See press release for details. "
53,934,Dr. Stephen Kappa Joins The Urology Group,2017-07-26 13:58:16,"Stephen Kappa, M.D., M.B.A., has joined The Urology Group, further expanding its resources and expertise for the Tri-State and bringing the staff total to 39 physicians."
47,891,Dr. Braun Named Health Care Hero,2017-02-24 05:44:31,"Dr. Karl B. Braun of The Urology Group was awarded a 2017 Health Care Heroes award from The Cincinnati Business Courier. This award honors healthcare professionals who have improved the quality of healthcare in Greater Cincinnati through their medical expertise, innovative approaches, management skills and service to the poor and uninsured. "
48,902,Healthiest Employer Finalist,2017-03-15 13:23:12,The Urology Group has once again been named a finalist for the Cincinnati Business Courier's Healthiest Employer Award.
49,903,The Urology Group Presents at Six Sigma Conference,2017-03-30 07:45:46,"The Urology Group was among the experts presenting at the national Lean and Six Sigma Conference in Phoenix, Arizona in February 28-29.  "
50,912,NKY First Responder Cancer Screening,2017-04-24 08:55:35,First responders in Northern Kentucky offered free prostate cancer screening on April 26
54,936,National Ambulatory Center Week,2017-08-07 12:48:06,"The Urology Group celebrates ASC Week, a time that recognizes excellence in outpatient surgery centers across the country. "
52,925,Brooke Edwards Healthcare Leadership Award,2017-06-27 05:47:53,"Venue Magazine has selected Dr. Brooke Edwards as a recipient of The Comprehensive Healthcare Leadership Award, class of 2017."
42,941,Winner - Best Places to Work ,2016-11-17 10:03:58,The Urology Group was named the winner in the >200 employee category for the Cincinnati Business Courier's annual Best Places to Work contest. This win comes the same year as the Group celebrates its 20th company anniversary. 
38,940,The Urology Group - Finalist for Best Places to Work,2016-09-09 09:08:42,"The Cincinnati Business Courier has named The Urology Group a finalist in its 2016 Best Places to Work competition, alongside other leading organizations in the Greater Cincinnati region.
"
20,942,Marketing Campaign Wins Award,2015-03-02 06:36:58,"A recent marketing campaign from The Urology Group captured a Gold Addy Award from the American Advertising Federation. The ""More Party, Less Potty"" ads were wrapped on port-a-potties at a public festival in Cincinnati, Ohio. The campaign was created by The Urology Group's agency, Forza Marketing. 

 "
55,966,Regional Data Project to Improve Patient Health,2017-08-30 05:05:02,The Urology Group joins several local independent physician groups to take the next big step in regional patient health data exchange. 
57,995,2018 Prostate Cancer Run at Belterra Park,2018-02-01 15:06:25,"The Urology Group will resume hosting the ZERO Prostate Cancer Run/Walk on Saturday, September 22, 2018, this year at Belterra Park. "
58,1008,"The Urology Group, TriHealth Expand Comprehensive Service Agreement",2018-04-09 09:05:31,"The Urology Group and TriHealth announced today they are expanding on their nearly three-year-old collaboration, with TriHealth investing a 15 percent stake in The Urology Group’s Urology Center, the nation’s largest independently operated urology-dedicated out-patient surgery center. "
59,1015,Collaboration with Cancer Support Community,2018-05-07 08:29:15,The Urology Group takes new step to help patients with emotional aspects of prostate cancer
60,1033,Dr. Gary Kirsh To Testify Before Congress,2018-07-17 07:00:54,Dr. Gary Kirsh is testifying today at the House Ways and Means Committee. The Urology Group and others have been working in Congress to achieve reforms to the Stark Laws to ensure the successful transition from volume to value in the Medicare program. You can access more information on the link below.
61,1034,65th Anniversary of Korean War Armistice,2018-07-24 07:59:06,More than 75 Korean War veterans are expected to attend July 27 patriotic program and celebration at GE Aviation’s Learning Centre in Evendale. 
62,1066,The Urology Group named a Center of Excellence by NAFC,2019-02-13 12:37:53,"The Urology Group was recently designated a Center of Excellence by the National Association for Continence. The COE designation is based on evidence of training, clinical experience, resources and patient satisfaction statistics that meet established standards. These rigorous standards ensure that each center that is designated a COE is truly exceptional at providing care for patients with pelvic floor dysfunction and incontinence. "
